x_2 y_2 D_2,px " " x_1 y_1 D_1,px " " dx dy dD,px " " abs(dx+dy)% dD,px
0.512 0.53 53 " " 0.5125 0.529688 58 " " 0.001 0.001 5 " " 0.101 5
0.522 0.076 70 " " 0.521094 0.075 64 " " 0.001 0.001 6 " " 0.101 6
0.026 0.152 68 " " 0.028125 0.15 75 " " 0.002 0.002 7 " " 0.202 7
0.554 0.548 66 " " 0.553125 0.547656 68 " " 0.001 0.0 2 " " 0.001 2
0.231 0.22 61 " " 0.230469 0.220313 68 " " 0.001 0.0 7 " " 0.001 7
0.305 0.102 52 " " 0.304688 0.100781 50 " " 0.001 0.001 2 " " 0.101 2
0.728 0.477 53 " " 0.728125 0.477344 52 " " 0.0 0.001 1 " " 0.1 1
0.034 0.457 58 " " 0.034375 0.457031 64 " " 0.0 0.0 6 " " 0.0 6
0.108 0.506 49 " " 0.107813 0.507812 55 " " 0.0 0.002 6 " " 0.2 6
0.577 0.592 50 " " 0.577344 0.589844 49 " " 0.0 0.002 1 " " 0.2 1
0.855 0.357 71 " " 0.853906 0.35625 68 " " 0.001 0.001 3 " " 0.101 3
0.383 0.236 43 " " 0.383594 0.235156 43 " " 0.001 0.001 0 " " 0.101 0
0.341 0.159 53 " " 0.342187 0.160938 57 " " 0.001 0.002 4 " " 0.201 4
0.373 0.124 56 " " 0.371875 0.125 53 " " 0.002 0.001 3 " " 0.10200000000000001 3
0.381 0.559 87 " " 0.382812 0.558594 83 " " 0.002 0.0 4 " " 0.002 4
0.475 0.219 66 " " 0.475 0.219531 62 " " 0.0 0.001 4 " " 0.1 4
0.421 0.252 51 " " 0.421875 0.252344 48 " " 0.001 0.0 3 " " 0.001 3
0.547 0.132 54 " " 0.546875 0.133594 60 " " 0.0 0.002 6 " " 0.2 6
0.714 0.141 48 " " 0.714063 0.142188 47 " " 0.0 0.001 1 " " 0.1 1
0.259 0.688 68 " " 0.258594 0.685156 71 " " 0.001 0.002 3 " " 0.201 3
0.191 0.38 58 " " 0.190625 0.38125 61 " " 0.001 0.002 3 " " 0.201 3
0.64 0.174 43 " " 0.639844 0.174219 41 " " 0.0 0.0 2 " " 0.0 2
0.114 0.752 52 " " 0.114063 0.753125 51 " " 0.0 0.001 1 " " 0.1 1
0.029 0.405 51 " " 0.0273438 0.404687 48 " " 0.002 0.001 3 " " 0.10200000000000001 3
0.65 0.248 57 " " 0.65 0.246094 50 " " 0.0 0.002 7 " " 0.2 7
0.57 0.646 62 " " 0.56875 0.648438 66 " " 0.001 0.002 4 " " 0.201 4
0.359 0.829 49 " " 0.360938 0.829687 57 " " 0.002 0.001 8 " " 0.10200000000000001 8
0.729 0.702 59 " " 0.732031 0.703125 64 " " 0.003 0.002 5 " " 0.203 5
0.435 0.666 69 " " 0.435156 0.665625 72 " " 0.0 0.0 3 " " 0.0 3
0.612 0.582 42 " " 0.613281 0.583594 45 " " 0.002 0.002 3 " " 0.202 3
0.511 0.18 50 " " 0.510156 0.179688 50 " " 0.001 0.001 0 " " 0.101 0
0.665 0.144 50 " " 0.666406 0.14375 52 " " 0.002 0.0 2 " " 0.002 2
0.011 0.662 41 " " 0.034375 0.678906 55 " " 0.023 0.017 14 " " 1.723 14
0.149 0.729 55 " " 0.149219 0.73125 58 " " 0.0 0.002 3 " " 0.2 3
0.373 0.196 58 " " 0.375 0.195312 57 " " 0.002 0.001 1 " " 0.10200000000000001 1
0.034 0.678 53 " " 2 2 2 " " 2 2 2 " " 202 2
0.052 0.599 52 " " 0.0507812 0.595312 50 " " 0.001 0.004 2 " " 0.401 2
0.704 0.183 48 " " 0.702344 0.183594 53 " " 0.002 0.001 5 " " 0.10200000000000001 5
0.173 0.256 50 " " 0.172656 0.257812 55 " " 0.001 0.002 5 " " 0.201 5
0.396 0.383 49 " " 0.401563 0.382031 52 " " 0.005 0.001 3 " " 0.10500000000000001 3
0.295 0.38 56 " " 0.292969 0.383594 57 " " 0.002 0.003 1 " " 0.302 1
0.153 0.569 52 " " 0.153906 0.569531 52 " " 0.001 0.001 0 " " 0.101 0
0.167 0.189 76 " " 0.167187 0.185937 71 " " 0.0 0.003 5 " " 0.3 5
0.622 0.351 52 " " 0.621094 0.350781 46 " " 0.001 0.0 6 " " 0.001 6
0.013 0.605 45 " " 0.0140625 0.604688 44 " " 0.002 0.001 1 " " 0.10200000000000001 1
0.441 0.477 42 " " 0.44375 0.478906 44 " " 0.002 0.002 2 " " 0.202 2
0.454 0.084 51 " " 0.450781 0.0835937 51 " " 0.003 0.0 0 " " 0.003 0
0.475 0.688 60 " " 0.476562 0.690625 64 " " 0.002 0.002 4 " " 0.202 4
0.9 0.695 51 " " 0.9 0.695312 50 " " 0.0 0.0 1 " " 0.0 1
0.305 0.239 54 " " 0.303906 0.239844 51 " " 0.002 0.001 3 " " 0.10200000000000001 3
0.013 0.525 42 " " 0.0148437 0.527344 46 " " 0.002 0.002 4 " " 0.202 4
0.771 0.481 48 " " 0.769531 0.478125 46 " " 0.002 0.003 2 " " 0.302 2
0.383 0.874 84 " " 0.383594 0.875781 81 " " 0.001 0.002 3 " " 0.201 3
0.06 0.374 59 " " 0.0625 0.374219 59 " " 0.002 0.0 0 " " 0.002 0
0.146 0.116 72 " " 0.145313 0.117188 75 " " 0.001 0.002 3 " " 0.201 3
0.801 0.176 118 " " 0.797656 0.177344 119 " " 0.004 0.002 1 " " 0.20400000000000001 1
0.748 0.348 44 " " 0.749219 0.346875 42 " " 0.001 0.001 2 " " 0.101 2
0.486 0.597 108 " " 0.485938 0.594531 113 " " 0.0 0.002 5 " " 0.2 5
0.727 0.307 56 " " 0.728906 0.308594 55 " " 0.002 0.002 1 " " 0.202 1
0.097 0.323 62 " " 0.0945313 0.323438 62 " " 0.002 0.001 0 " " 0.10200000000000001 0
0.064 0.292 41 " " 0.0640625 0.290625 40 " " 0.0 0.002 1 " " 0.2 1
0.882 0.628 76 " " 0.882031 0.630469 78 " " 0.0 0.002 2 " " 0.2 2
0.102 0.286 49 " " 2 2 2 " " 2 2 2 " " 202 2
0.712 0.764 69 " " 0.710156 0.764063 63 " " 0.002 0.0 6 " " 0.002 6
0.682 0.601 56 " " 0.68125 0.603125 60 " " 0.001 0.002 4 " " 0.201 4
0.061 0.811 53 " " 0.0625 0.810156 57 " " 0.002 0.001 4 " " 0.10200000000000001 4
0.279 0.28 55 " " 0.278125 0.280469 58 " " 0.001 0.0 3 " " 0.001 3
0.691 0.453 55 " " 0.691406 0.450781 53 " " 0.001 0.002 2 " " 0.201 2
0.263 0.162 75 " " 0.264844 0.160156 75 " " 0.002 0.002 0 " " 0.202 0
0.237 0.391 54 " " 0.236719 0.39375 46 " " 0.0 0.003 8 " " 0.3 8
0.821 0.093 77 " " 0.821094 0.090625 74 " " 0.0 0.002 3 " " 0.2 3
0.578 0.398 53 " " 0.582812 0.397656 45 " " 0.005 0.001 8 " " 0.10500000000000001 8
0.763 0.29 47 " " 0.763281 0.289844 47 " " 0.0 0.0 0 " " 0.0 0
0.088 0.797 56 " " 0.0914062 0.799219 55 " " 0.003 0.002 1 " " 0.203 1
0.56 0.257 51 " " 0.560156 0.258594 56 " " 0.0 0.002 5 " " 0.2 5
0.087 0.637 62 " " 0.0867188 0.63125 54 " " 0.0 0.005 8 " " 0.5 8
0.532 0.739 93 " " 0.53125 0.7375 89 " " 0.001 0.002 4 " " 0.201 4
0.603 0.528 57 " " 0.603125 0.530469 54 " " 0.0 0.002 3 " " 0.2 3
0.382 0.671 61 " " 0.38125 0.667188 59 " " 0.001 0.004 2 " " 0.401 2
0.015 0.762 58 " " 0.0164062 0.765625 56 " " 0.002 0.004 2 " " 0.402 2
0.261 0.33 52 " " 0.261719 0.332031 49 " " 0.001 0.002 3 " " 0.201 3
0.652 0.302 61 " " 0.652344 0.302344 56 " " 0.001 0.001 5 " " 0.101 5
0.559 0.355 48 " " 0.55625 0.355469 44 " " 0.002 0.001 4 " " 0.10200000000000001 4
0.608 0.649 51 " " 0.607813 0.651563 43 " " 0.0 0.002 8 " " 0.2 8
0.432 0.161 44 " " 0.433594 0.161719 39 " " 0.002 0.001 5 " " 0.10200000000000001 5
0.737 0.178 40 " " 0.735937 0.178125 37 " " 0.001 0.0 3 " " 0.001 3
0.517 0.226 50 " " 0.516406 0.227344 51 " " 0.001 0.002 1 " " 0.201 1
0.062 0.256 44 " " 0.0632813 0.259375 44 " " 0.001 0.003 0 " " 0.301 0
0.973 0.282 66 " " 0.973437 0.282031 71 " " 0.001 0.0 5 " " 0.001 5
0.349 0.326 47 " " 0.35 0.325781 44 " " 0.001 0.0 3 " " 0.001 3
0.343 0.61 55 " " 0.342187 0.607813 59 " " 0.001 0.002 4 " " 0.201 4
0.065 0.75 66 " " 0.0640625 0.753906 66 " " 0.001 0.004 0 " " 0.401 0
0.792 0.645 64 " " 0.785937 0.639844 64 " " 0.006 0.005 0 " " 0.506 0
0.237 0.295 50 " " 0.238281 0.295312 48 " " 0.001 0.001 2 " " 0.101 2
0.884 0.249 62 " " 0.882031 0.246094 68 " " 0.002 0.003 6 " " 0.302 6
0.734 0.608 67 " " 0.732031 0.607031 65 " " 0.002 0.001 2 " " 0.10200000000000001 2
0.07 0.455 57 " " 0.071875 0.455469 62 " " 0.002 0.001 5 " " 0.10200000000000001 5
0.271 0.632 49 " " 0.272656 0.632812 46 " " 0.002 0.001 3 " " 0.10200000000000001 3
0.013 0.227 43 " " 0.0320312 0.244531 49 " " 0.02 0.018 6 " " 1.8199999999999998 6
0.673 0.181 50 " " 0.670313 0.184375 45 " " 0.002 0.003 5 " " 0.302 5
0.686 0.31 38 " " 0.685156 0.310156 35 " " 0.001 0.0 3 " " 0.001 3
0.197 0.683 73 " " 0.198437 0.682813 67 " " 0.002 0.0 6 " " 0.002 6
0.927 0.147 68 " " 0.926562 0.146875 77 " " 0.0 0.0 9 " " 0.0 9
0.209 0.314 43 " " 0.209375 0.313281 40 " " 0.0 0.001 3 " " 0.1 3
0.935 0.436 50 " " 0.929688 0.433594 62 " " 0.005 0.002 12 " " 0.20500000000000002 12
0.693 0.677 53 " " 0.692187 0.674219 52 " " 0.001 0.002 1 " " 0.201 1
0.744 0.115 38 " " 0.74375 0.115625 41 " " 0.0 0.001 3 " " 0.1 3
0.541 0.178 49 " " 0.539844 0.176563 47 " " 0.002 0.002 2 " " 0.202 2
0.575 0.065 44 " " 0.575 0.0664062 48 " " 0.0 0.002 4 " " 0.2 4
0.519 0.442 52 " " 0.517969 0.439063 51 " " 0.001 0.003 1 " " 0.301 1
0.417 0.525 53 " " 0.417969 0.520312 46 " " 0.001 0.005 7 " " 0.501 7
0.082 0.589 38 " " 2 2 2 " " 2 2 2 " " 202 2
0.155 0.481 70 " " 0.153125 0.480469 69 " " 0.002 0.001 1 " " 0.10200000000000001 1
0.612 0.27 46 " " 0.609375 0.270312 51 " " 0.002 0.001 5 " " 0.10200000000000001 5
0.608 0.708 59 " " 0.607813 0.711719 55 " " 0.0 0.004 4 " " 0.4 4
0.027 0.343 53 " " 0.0296875 0.342187 51 " " 0.002 0.001 2 " " 0.10200000000000001 2
0.668 0.724 57 " " 0.66875 0.725 55 " " 0.001 0.001 2 " " 0.101 2
0.385 0.296 49 " " 0.386719 0.296094 49 " " 0.002 0.0 0 " " 0.002 0
0.691 0.265 48 " " 0.690625 0.265625 47 " " 0.0 0.001 1 " " 0.1 1
0.124 0.619 90 " " 0.121094 0.617969 85 " " 0.003 0.001 5 " " 0.10300000000000001 5
0.225 0.773 88 " " 0.227344 0.771875 71 " " 0.002 0.001 17 " " 0.10200000000000001 17
0.173 0.533 45 " " 0.173438 0.533594 46 " " 0.0 0.001 1 " " 0.1 1
0.908 0.469 47 " " 0.908594 0.469531 47 " " 0.001 0.001 0 " " 0.101 0
0.148 0.011 34 " " 2 2 2 " " 2 2 2 " " 202 2
0.816 0.439 54 " " 0.816406 0.440625 50 " " 0.0 0.002 4 " " 0.2 4
0.886 0.403 47 " " 0.885156 0.405469 47 " " 0.001 0.002 0 " " 0.201 0
0.338 0.755 54 " " 0.336719 0.754687 58 " " 0.001 0.001 4 " " 0.101 4
0.427 0.584 62 " " 0.429688 0.582031 60 " " 0.003 0.002 2 " " 0.203 2
0.009 0.185 28 " " 2 2 2 " " 2 2 2 " " 202 2
0.721 0.256 40 " " 0.723437 0.253125 43 " " 0.002 0.003 3 " " 0.302 3
0.157 0.324 78 " " 0.155469 0.325 69 " " 0.002 0.001 9 " " 0.10200000000000001 9
0.496 0.12 69 " " 0.492969 0.107813 58 " " 0.003 0.012 11 " " 1.2029999999999998 11
0.02 0.565 37 " " 0.0203125 0.566406 36 " " 0.001 0.002 1 " " 0.201 1
0.316 0.329 44 " " 0.316406 0.328125 37 " " 0.001 0.001 7 " " 0.101 7
0.877 0.512 45 " " 0.878906 0.514844 45 " " 0.002 0.002 0 " " 0.202 0
0.659 0.458 46 " " 2 2 2 " " 2 2 2 " " 202 2
0.539 0.395 40 " " 0.540625 0.392188 41 " " 0.002 0.002 1 " " 0.202 1
0.846 0.478 53 " " 0.846875 0.477344 52 " " 0.001 0.001 1 " " 0.101 1
0.123 0.172 43 " " 0.123438 0.170312 41 " " 0.0 0.002 2 " " 0.2 2
0.94 0.624 61 " " 0.940625 0.622656 60 " " 0.001 0.002 1 " " 0.201 1
0.775 0.055 52 " " 0.775781 0.0570313 49 " " 0.001 0.002 3 " " 0.201 3
0.497 0.841 79 " " 0.499219 0.840625 73 " " 0.002 0.0 6 " " 0.002 6
0.455 0.121 44 " " 0.45625 0.121094 44 " " 0.002 0.0 0 " " 0.002 0
0.896 0.352 53 " " 0.897656 0.353125 55 " " 0.002 0.001 2 " " 0.10200000000000001 2
0.765 0.219 55 " " 0.766406 0.217187 60 " " 0.002 0.002 5 " " 0.202 5
0.648 0.662 64 " " 0.646875 0.665625 66 " " 0.001 0.004 2 " " 0.401 2
0.895 0.305 52 " " 0.89375 0.305469 54 " " 0.001 0.001 2 " " 0.101 2
0.671 0.061 48 " " 0.671875 0.0570313 50 " " 0.001 0.004 2 " " 0.401 2
0.412 0.203 49 " " 2 2 2 " " 2 2 2 " " 202 2
0.311 0.687 34 " " 0.311719 0.685938 36 " " 0.001 0.001 2 " " 0.101 2
0.256 0.098 50 " " 0.25625 0.0976562 48 " " 0.0 0.0 2 " " 0.0 2
