x_2 y_2 D_2,px " " x_1 y_1 D_1,px " " dx dy dD,px " " abs(dx+dy)% dD,px
0.734 0.503 65 " " 0.732031 0.503125 68 " " 0.002 0.0 3 " " 0.002 3
0.354 0.328 50 " " 0.350781 0.330469 54 " " 0.003 0.002 4 " " 0.203 4
0.609 0.701 46 " " 0.610156 0.702344 45 " " 0.001 0.002 1 " " 0.201 1
0.018 0.902 61 " " 0.0195312 0.903906 60 " " 0.002 0.002 1 " " 0.202 1
0.739 0.186 60 " " 0.739844 0.186719 59 " " 0.001 0.001 1 " " 0.101 1
0.042 0.146 72 " " 0.0390625 0.14375 73 " " 0.003 0.002 1 " " 0.203 1
0.409 0.309 66 " " 0.408594 0.307813 70 " " 0.0 0.001 4 " " 0.1 4
0.781 0.226 62 " " 0.785937 0.228906 64 " " 0.005 0.003 2 " " 0.305 2
0.507 0.156 73 " " 0.503906 0.157813 68 " " 0.003 0.002 5 " " 0.203 5
0.236 0.551 54 " " 0.238281 0.554688 64 " " 0.002 0.004 10 " " 0.402 10
0.118 0.166 65 " " 0.116406 0.164844 61 " " 0.002 0.002 4 " " 0.202 4
0.207 0.612 77 " " 0.205469 0.6125 76 " " 0.002 0.001 1 " " 0.10200000000000001 1
0.279 0.236 46 " " 0.278906 0.2375 46 " " 0.0 0.002 0 " " 0.2 0
0.73 0.395 60 " " 0.728906 0.394531 60 " " 0.002 0.001 0 " " 0.10200000000000001 0
0.113 0.33 70 " " 0.1125 0.329688 69 " " 0.0 0.001 1 " " 0.1 1
0.66 0.576 63 " " 0.6625 0.577344 56 " " 0.002 0.002 7 " " 0.202 7
0.087 0.505 57 " " 0.0851562 0.504687 56 " " 0.002 0.001 1 " " 0.10200000000000001 1
0.54 0.478 70 " " 0.539062 0.476562 63 " " 0.001 0.002 7 " " 0.201 7
0.386 0.427 48 " " 0.386719 0.428125 52 " " 0.001 0.001 4 " " 0.101 4
0.209 0.81 68 " " 0.210156 0.808594 68 " " 0.001 0.002 0 " " 0.201 0
0.037 0.495 63 " " 0.0367187 0.49375 68 " " 0.0 0.001 5 " " 0.1 5
0.143 0.122 52 " " 0.144531 0.121094 49 " " 0.002 0.001 3 " " 0.10200000000000001 3
0.702 0.299 69 " " 0.701563 0.296094 68 " " 0.0 0.003 1 " " 0.3 1
0.186 0.122 53 " " 0.185937 0.121875 49 " " 0.0 0.0 4 " " 0.0 4
0.248 0.356 96 " " 0.246875 0.35625 101 " " 0.002 0.0 5 " " 0.002 5
0.438 0.209 53 " " 0.440625 0.210156 58 " " 0.003 0.001 5 " " 0.10300000000000001 5
0.465 0.258 56 " " 0.466406 0.260156 47 " " 0.002 0.002 9 " " 0.202 9
0.9 0.645 62 " " 0.900781 0.648438 52 " " 0.001 0.003 10 " " 0.301 10
0.409 0.818 48 " " 0.409375 0.81875 52 " " 0.001 0.001 4 " " 0.101 4
0.458 0.914 50 " " 0.458594 0.914844 46 " " 0.001 0.001 4 " " 0.101 4
0.292 0.865 72 " " 0.2875 0.864062 67 " " 0.005 0.001 5 " " 0.10500000000000001 5
0.252 0.77 100 " " 0.252344 0.76875 106 " " 0.001 0.001 6 " " 0.101 6
0.347 0.284 61 " " 0.345313 0.286719 60 " " 0.002 0.002 1 " " 0.202 1
0.672 0.727 50 " " 0.673437 0.729688 51 " " 0.002 0.002 1 " " 0.202 1
0.299 0.568 60 " " 0.301562 0.56875 62 " " 0.002 0.001 2 " " 0.10200000000000001 2
0.848 0.131 65 " " 0.849219 0.132812 70 " " 0.001 0.002 5 " " 0.201 5
0.759 0.763 60 " " 0.75625 0.759375 65 " " 0.002 0.004 5 " " 0.402 5
0.427 0.255 48 " " 0.429688 0.253906 40 " " 0.002 0.001 8 " " 0.10200000000000001 8
0.388 0.237 48 " " 0.3875 0.235156 42 " " 0.0 0.002 6 " " 0.2 6
0.332 0.166 66 " " 0.332812 0.164062 64 " " 0.001 0.002 2 " " 0.201 2
0.212 0.504 44 " " 0.2125 0.503906 44 " " 0.0 0.0 0 " " 0.0 0
0.116 0.536 51 " " 0.117188 0.536719 54 " " 0.002 0.001 3 " " 0.10200000000000001 3
0.309 0.799 45 " " 0.307031 0.799219 43 " " 0.002 0.0 2 " " 0.002 2
0.642 0.707 53 " " 0.642969 0.710156 49 " " 0.001 0.003 4 " " 0.301 4
0.473 0.44 93 " " 0.475781 0.436719 89 " " 0.003 0.003 4 " " 0.303 4
0.327 0.515 76 " " 0.328125 0.51875 77 " " 0.002 0.004 1 " " 0.402 1
0.264 0.63 75 " " 0.264844 0.63125 76 " " 0.001 0.002 1 " " 0.201 1
0.186 0.201 54 " " 0.185937 0.202344 52 " " 0.0 0.002 2 " " 0.2 2
