x_2 y_2 D_2,px " " x_1 y_1 D_1,px " " dx dy dD,px " " abs(dx+dy)% dD,px
0.202 0.363 96 " " 0.204688 0.361719 98 " " 0.003 0.002 2 " " 0.203 2
0.816 0.623 62 " " 0.814062 0.621875 58 " " 0.002 0.001 4 " " 0.10200000000000001 4
0.153 0.177 64 " " 0.153906 0.177344 61 " " 0.001 0.0 3 " " 0.001 3
0.547 0.139 88 " " 0.546094 0.139062 79 " " 0.001 0.0 9 " " 0.001 9
0.203 0.197 69 " " 0.202344 0.195312 78 " " 0.001 0.002 9 " " 0.201 9
0.562 0.486 84 " " 0.5625 0.489844 84 " " 0.0 0.004 0 " " 0.4 0
0.247 0.539 59 " " 0.245312 0.540625 61 " " 0.002 0.002 2 " " 0.202 2
0.787 0.653 50 " " 0.7875 0.657031 52 " " 0.001 0.004 2 " " 0.401 2
0.273 0.154 58 " " 0.274219 0.155469 61 " " 0.002 0.002 3 " " 0.202 3
0.69 0.232 83 " " 0.689062 0.232031 84 " " 0.001 0.0 1 " " 0.001 1
0.773 0.599 53 " " 0.772656 0.598437 48 " " 0.0 0.001 5 " " 0.1 5
0.294 0.48 52 " " 0.291406 0.48125 50 " " 0.002 0.001 2 " " 0.10200000000000001 2
0.34 0.741 50 " " 0.332031 0.739844 51 " " 0.007 0.002 1 " " 0.20700000000000002 1
0.182 0.123 48 " " 0.18125 0.122656 54 " " 0.001 0.001 6 " " 0.101 6
0.698 0.043 99 " " 0.703125 0.0453125 97 " " 0.005 0.002 2 " " 0.20500000000000002 2
0.734 0.557 76 " " 0.734375 0.555469 76 " " 0.0 0.002 0 " " 0.2 0
0.195 0.306 51 " " 0.194531 0.308594 51 " " 0.001 0.002 0 " " 0.201 0
0.551 0.424 51 " " 0.551562 0.423438 45 " " 0.001 0.001 6 " " 0.101 6
0.505 0.677 65 " " 0.503906 0.678125 64 " " 0.002 0.001 1 " " 0.10200000000000001 1
0.609 0.607 47 " " 0.610156 0.608594 49 " " 0.002 0.002 2 " " 0.202 2
0.883 0.27 47 " " 0.882031 0.267969 51 " " 0.001 0.002 4 " " 0.201 4
0.57 0.38 53 " " 0.571094 0.382812 55 " " 0.001 0.002 2 " " 0.201 2
0.03 0.641 51 " " 0.0289063 0.640625 52 " " 0.001 0.0 1 " " 0.001 1
0.353 0.159 96 " " 0.352344 0.158594 93 " " 0.001 0.0 3 " " 0.001 3
0.34 0.538 89 " " 0.340625 0.542188 79 " " 0.001 0.004 10 " " 0.401 10
0.23 0.138 51 " " 0.229687 0.141406 48 " " 0.001 0.003 3 " " 0.301 3
0.361 0.477 51 " " 0.359375 0.476562 58 " " 0.002 0.0 7 " " 0.002 7
0.734 0.623 52 " " 0.735156 0.621094 45 " " 0.001 0.002 7 " " 0.201 7
0.065 0.634 44 " " 0.0664062 0.633594 49 " " 0.002 0.001 5 " " 0.10200000000000001 5
0.141 0.259 113 " " 0.142969 0.2625 121 " " 0.002 0.003 8 " " 0.302 8
0.555 0.259 53 " " 0.552344 0.259375 54 " " 0.002 0.0 1 " " 0.002 1
0.901 0.309 55 " " 0.898438 0.309375 55 " " 0.002 0.001 0 " " 0.10200000000000001 0
0.264 0.453 47 " " 0.265625 0.45 51 " " 0.002 0.003 4 " " 0.302 4
0.465 0.427 64 " " 0.465625 0.429688 64 " " 0.001 0.003 0 " " 0.301 0
0.059 0.272 65 " " 0.0640625 0.276563 69 " " 0.005 0.005 4 " " 0.505 4
0.575 0.334 44 " " 0.575781 0.333594 43 " " 0.001 0.0 1 " " 0.001 1
0.644 0.43 65 " " 0.644531 0.428906 65 " " 0.001 0.001 0 " " 0.101 0
0.823 0.68 54 " " 0.823438 0.679688 53 " " 0.001 0.0 1 " " 0.001 1
0.923 0.392 92 " " 0.921094 0.391406 81 " " 0.002 0.001 11 " " 0.10200000000000001 11
0.842 0.261 61 " " 0.841406 0.264062 56 " " 0.001 0.003 5 " " 0.301 5
0.543 0.302 61 " " 0.544531 0.304688 54 " " 0.002 0.002 7 " " 0.202 7
0.042 0.14 61 " " 0.040625 0.1375 54 " " 0.002 0.002 7 " " 0.202 7
0.642 0.372 66 " " 0.641406 0.374219 73 " " 0.001 0.002 7 " " 0.201 7
0.596 0.444 70 " " 0.597656 0.441406 64 " " 0.002 0.002 6 " " 0.202 6
0.059 0.68 48 " " 0.0578125 0.680469 48 " " 0.001 0.001 0 " " 0.101 0
0.085 0.435 63 " " 0.084375 0.435937 65 " " 0.001 0.001 2 " " 0.101 2
0.498 0.473 54 " " 0.501562 0.473437 52 " " 0.003 0.001 2 " " 0.10300000000000001 2
0.03 0.352 49 " " 0.0304688 0.352344 51 " " 0.0 0.0 2 " " 0.0 2
0.465 0.327 59 " " 0.465625 0.328125 55 " " 0.001 0.001 4 " " 0.101 4
0.18 0.698 54 " " 0.182031 0.696094 46 " " 0.002 0.002 8 " " 0.202 8
0.043 0.586 66 " " 0.0453125 0.583594 66 " " 0.002 0.002 0 " " 0.202 0
0.791 0.263 49 " " 0.791406 0.264062 48 " " 0.001 0.002 1 " " 0.201 1
0.92 0.127 112 " " 0.920313 0.126563 113 " " 0.001 0.0 1 " " 0.001 1
0.664 0.15 53 " " 0.665625 0.147656 48 " " 0.002 0.002 5 " " 0.202 5
0.303 0.583 49 " " 0.303125 0.582812 51 " " 0.0 0.0 2 " " 0.0 2
0.087 0.357 69 " " 2 2 2 " " 2 2 2 " " 202 2
0.11 0.78 49 " " 2 2 2 " " 2 2 2 " " 202 2
0.245 0.202 52 " " 0.245312 0.202344 50 " " 0.001 0.001 2 " " 0.101 2
0.709 0.43 68 " " 0.707812 0.428906 64 " " 0.001 0.001 4 " " 0.101 4
0.202 0.094 54 " " 0.204688 0.0953125 60 " " 0.002 0.002 6 " " 0.202 6
0.343 0.236 62 " " 0.342187 0.235156 62 " " 0.001 0.001 0 " " 0.101 0
0.733 0.252 46 " " 0.733594 0.252344 51 " " 0.001 0.0 5 " " 0.001 5
0.402 0.509 83 " " 0.401563 0.507812 79 " " 0.0 0.002 4 " " 0.2 4
0.534 0.527 60 " " 0.534375 0.529688 58 " " 0.0 0.002 2 " " 0.2 2
