x_2 y_2 D_2,px " " x_1 y_1 D_1,px " " dx dy dD,px " " abs(dx+dy)% dD,px
0.775 0.253 79 " " 0.775781 0.251563 82 " " 0.001 0.002 3 " " 0.201 3
0.066 0.525 59 " " 0.0664062 0.526563 62 " " 0.001 0.002 3 " " 0.201 3
0.813 0.423 53 " " 0.817187 0.424219 52 " " 0.004 0.002 1 " " 0.20400000000000001 1
0.084 0.748 60 " " 0.084375 0.747656 55 " " 0.0 0.0 5 " " 0.0 5
0.311 0.732 52 " " 0.3125 0.733594 44 " " 0.002 0.002 8 " " 0.202 8
0.859 0.43 51 " " 0.858594 0.429688 51 " " 0.001 0.0 0 " " 0.001 0
0.577 0.468 71 " " 0.576563 0.467969 70 " " 0.001 0.0 1 " " 0.001 1
0.277 0.628 50 " " 0.278125 0.628906 52 " " 0.001 0.001 2 " " 0.101 2
0.896 0.463 79 " " 0.89375 0.460938 77 " " 0.002 0.002 2 " " 0.202 2
0.828 0.463 41 " " 0.828125 0.463281 46 " " 0.0 0.001 5 " " 0.1 5
0.24 0.708 54 " " 0.2375 0.707812 48 " " 0.002 0.0 6 " " 0.002 6
0.18 0.653 51 " " 0.178125 0.654688 49 " " 0.002 0.002 2 " " 0.202 2
0.036 0.748 55 " " 0.0359375 0.748438 57 " " 0.0 0.0 2 " " 0.0 2
0.166 0.368 56 " " 0.164844 0.369531 57 " " 0.001 0.002 1 " " 0.201 1
0.418 0.279 63 " " 0.41875 0.278125 59 " " 0.001 0.001 4 " " 0.101 4
0.047 0.437 70 " " 0.0453125 0.436719 78 " " 0.002 0.0 8 " " 0.002 8
0.176 0.178 54 " " 0.176563 0.18125 49 " " 0.001 0.003 5 " " 0.301 5
0.513 0.366 54 " " 0.5125 0.364844 55 " " 0.001 0.001 1 " " 0.101 1
0.473 0.373 67 " " 0.474219 0.371094 61 " " 0.001 0.002 6 " " 0.201 6
0.727 0.464 48 " " 0.726562 0.465625 49 " " 0.001 0.002 1 " " 0.201 1
0.777 0.455 61 " " 0.776563 0.457812 63 " " 0.001 0.002 2 " " 0.201 2
0.212 0.091 50 " " 0.209375 0.0914062 52 " " 0.002 0.001 2 " " 0.10200000000000001 2
0.549 0.403 68 " " 0.546094 0.404687 62 " " 0.003 0.002 6 " " 0.203 6
0.188 0.554 45 " " 0.191406 0.55625 46 " " 0.003 0.002 1 " " 0.203 1
0.37 0.169 48 " " 0.369531 0.169531 46 " " 0.001 0.001 2 " " 0.101 2
0.568 0.2 115 " " 0.56875 0.200781 108 " " 0.001 0.001 7 " " 0.101 7
0.234 0.255 57 " " 0.234375 0.253906 64 " " 0.0 0.001 7 " " 0.1 7
0.835 0.373 56 " " 0.835938 0.369531 55 " " 0.001 0.003 1 " " 0.301 1
0.208 0.514 53 " " 0.208594 0.510938 54 " " 0.001 0.003 1 " " 0.301 1
0.648 0.574 52 " " 0.648438 0.575781 50 " " 0.0 0.002 2 " " 0.2 2
0.391 0.645 60 " " 0.390625 0.64375 58 " " 0.0 0.002 2 " " 0.2 2
0.43 0.332 60 " " 0.428906 0.332812 55 " " 0.001 0.001 5 " " 0.101 5
0.234 0.473 59 " " 0.233594 0.470313 60 " " 0.0 0.002 1 " " 0.2 1
0.485 0.224 73 " " 0.482031 0.225781 81 " " 0.003 0.002 8 " " 0.203 8
0.595 0.68 68 " " 0.597656 0.68125 70 " " 0.003 0.001 2 " " 0.10300000000000001 2
0.699 0.101 66 " " 0.700781 0.100781 55 " " 0.002 0.0 11 " " 0.002 11
0.675 0.484 49 " " 0.677344 0.482812 50 " " 0.002 0.002 1 " " 0.202 1
0.013 0.552 40 " " 0.0140625 0.553906 44 " " 0.002 0.002 4 " " 0.202 4
0.087 0.627 59 " " 0.0867188 0.625 57 " " 0.001 0.002 2 " " 0.201 2
0.248 0.313 52 " " 0.246875 0.314063 56 " " 0.002 0.001 4 " " 0.10200000000000001 4
0.249 0.199 51 " " 0.249219 0.203125 54 " " 0.0 0.004 3 " " 0.4 3
0.501 0.605 58 " " 0.5 0.60625 59 " " 0.001 0.002 1 " " 0.201 1
0.291 0.165 73 " " 0.290625 0.16875 74 " " 0.0 0.004 1 " " 0.4 1
0.23 0.427 46 " " 0.229687 0.428906 44 " " 0.0 0.002 2 " " 0.2 2
0.534 0.7 50 " " 0.534375 0.697656 46 " " 0.0 0.002 4 " " 0.2 4
0.491 0.324 46 " " 0.490625 0.328125 41 " " 0.001 0.004 5 " " 0.401 5
0.866 0.315 60 " " 0.867188 0.317187 61 " " 0.002 0.002 1 " " 0.202 1
0.771 0.107 71 " " 0.771094 0.107031 67 " " 0.0 0.0 4 " " 0.0 4
0.312 0.597 56 " " 0.314063 0.596875 52 " " 0.002 0.0 4 " " 0.002 4
0.13 0.061 61 " " 2 2 2 " " 2 2 2 " " 202 2
0.767 0.305 52 " " 0.764844 0.305469 49 " " 0.002 0.001 3 " " 0.10200000000000001 3
0.013 0.512 41 " " 0.0148437 0.5125 44 " " 0.002 0.001 3 " " 0.10200000000000001 3
0.237 0.527 47 " " 0.239844 0.526563 46 " " 0.002 0.0 1 " " 0.002 1
0.676 0.28 48 " " 0.675781 0.28125 50 " " 0.0 0.002 2 " " 0.2 2
0.467 0.431 51 " " 0.467187 0.432031 52 " " 0.0 0.001 1 " " 0.1 1
0.032 0.069 68 " " 0.0320312 0.06875 72 " " 0.0 0.0 4 " " 0.0 4
0.106 0.531 51 " " 0.105469 0.532812 44 " " 0.001 0.002 7 " " 0.201 7
0.842 0.62 53 " " 0.842969 0.619531 53 " " 0.001 0.0 0 " " 0.001 0
0.352 0.575 43 " " 0.35 0.577344 44 " " 0.002 0.002 1 " " 0.202 1
0.132 0.22 55 " " 0.130469 0.221094 47 " " 0.002 0.002 8 " " 0.202 8
0.062 0.186 44 " " 0.0625 0.185156 44 " " 0.001 0.001 0 " " 0.101 0
0.192 0.471 44 " " 0.189844 0.471094 47 " " 0.002 0.0 3 " " 0.002 3
0.462 0.709 46 " " 0.4625 0.709375 45 " " 0.001 0.0 1 " " 0.001 1
0.906 0.234 131 " " 0.903906 0.229687 135 " " 0.002 0.005 4 " " 0.502 4
0.673 0.597 45 " " 0.676562 0.596875 48 " " 0.003 0.0 3 " " 0.003 3
0.016 0.134 40 " " 0.0164062 0.132031 42 " " 0.001 0.002 2 " " 0.201 2
0.652 0.427 40 " " 0.650781 0.428125 42 " " 0.002 0.002 2 " " 0.202 2
0.734 0.515 73 " " 0.73125 0.5125 67 " " 0.002 0.002 6 " " 0.202 6
0.244 0.573 52 " " 0.242969 0.572656 51 " " 0.001 0.0 1 " " 0.001 1
0.129 0.163 66 " " 0.125781 0.164062 64 " " 0.003 0.002 2 " " 0.203 2
0.082 0.374 47 " " 0.0820312 0.371875 48 " " 0.0 0.002 1 " " 0.2 1
0.023 0.173 57 " " 0.0257812 0.173438 60 " " 0.002 0.0 3 " " 0.002 3
0.538 0.513 47 " " 0.535156 0.515625 44 " " 0.003 0.002 3 " " 0.203 3
0.286 0.066 65 " " 0.2875 0.065625 61 " " 0.002 0.0 4 " " 0.002 4
0.754 0.055 62 " " 0.754687 0.05625 61 " " 0.001 0.002 1 " " 0.201 1
0.015 0.661 45 " " 0.0140625 0.660937 44 " " 0.001 0.0 1 " " 0.001 1
0.192 0.238 48 " " 0.190625 0.240625 51 " " 0.002 0.002 3 " " 0.202 3
0.541 0.637 69 " " 0.539844 0.638281 64 " " 0.002 0.002 5 " " 0.202 5
0.513 0.738 46 " " 0.509375 0.7375 51 " " 0.004 0.0 5 " " 0.004 5
0.012 0.359 36 " " 0.0101562 0.357031 38 " " 0.002 0.002 2 " " 0.202 2
0.149 0.63 47 " " 0.147656 0.630469 49 " " 0.002 0.0 2 " " 0.002 2
0.062 0.581 58 " " 0.0609375 0.580469 68 " " 0.001 0.001 10 " " 0.101 10
0.355 0.395 116 " " 0.353906 0.392969 114 " " 0.001 0.002 2 " " 0.201 2
0.588 0.563 49 " " 0.591406 0.563281 58 " " 0.003 0.0 9 " " 0.003 9
0.14 0.59 42 " " 0.140625 0.59375 43 " " 0.001 0.004 1 " " 0.401 1
0.698 0.409 56 " " 0.698438 0.40625 49 " " 0.0 0.002 7 " " 0.2 7
0.157 0.274 51 " " 0.160156 0.275781 55 " " 0.003 0.002 4 " " 0.203 4
0.77 0.405 45 " " 0.771094 0.407031 46 " " 0.002 0.002 1 " " 0.202 1
0.51 0.43 52 " " 0.508594 0.438281 67 " " 0.002 0.009 15 " " 0.9019999999999999 15
0.36 0.205 47 " " 0.360156 0.209375 55 " " 0.0 0.004 8 " " 0.4 8
0.136 0.384 45 " " 0.135937 0.383594 44 " " 0.0 0.001 1 " " 0.1 1
0.303 0.667 56 " " 0.303906 0.666406 52 " " 0.001 0.001 4 " " 0.101 4
0.726 0.321 51 " " 0.723437 0.321094 48 " " 0.002 0.0 3 " " 0.002 3
0.579 0.284 68 " " 0.578125 0.285156 63 " " 0.001 0.001 5 " " 0.101 5
0.642 0.268 44 " " 0.642187 0.267188 47 " " 0.0 0.001 3 " " 0.1 3
0.249 0.087 48 " " 0.250781 0.0859375 42 " " 0.002 0.002 6 " " 0.202 6
0.11 0.583 44 " " 0.109375 0.5875 47 " " 0.001 0.005 3 " " 0.501 3
0.217 0.172 51 " " 0.217969 0.169531 43 " " 0.001 0.002 8 " " 0.201 8
0.434 0.393 59 " " 0.433594 0.391406 57 " " 0.0 0.002 2 " " 0.2 2
0.646 0.152 60 " " 0.64375 0.15 52 " " 0.002 0.002 8 " " 0.202 8
0.83 0.26 60 " " 0.828906 0.261719 56 " " 0.002 0.002 4 " " 0.202 4
0.08 0.089 60 " " 0.0789063 0.0921875 56 " " 0.001 0.003 4 " " 0.301 4
0.58 0.073 56 " " 0.58125 0.0742188 60 " " 0.001 0.001 4 " " 0.101 4
0.911 0.523 61 " " 0.907812 0.528125 59 " " 0.003 0.005 2 " " 0.503 2
0.16 0.102 42 " " 0.160938 0.103906 48 " " 0.001 0.002 6 " " 0.201 6
0.083 0.449 46 " " 0.0835937 0.45 47 " " 0.001 0.001 1 " " 0.101 1
0.159 0.323 46 " " 2 2 2 " " 2 2 2 " " 202 2
0.538 0.113 52 " " 0.538281 0.1125 52 " " 0.0 0.0 0 " " 0.0 0
0.648 0.333 57 " " 0.646094 0.33125 54 " " 0.002 0.002 3 " " 0.202 3
0.287 0.279 56 " " 0.2875 0.282031 55 " " 0.0 0.003 1 " " 0.3 1
0.752 0.626 37 " " 0.753906 0.628125 45 " " 0.002 0.002 8 " " 0.202 8
0.684 0.146 45 " " 0.682031 0.146875 42 " " 0.002 0.001 3 " " 0.10200000000000001 3
0.801 0.689 48 " " 0.801562 0.689844 46 " " 0.001 0.001 2 " " 0.101 2
0.159 0.495 44 " " 0.158594 0.495313 46 " " 0.001 0.001 2 " " 0.101 2
0.245 0.625 41 " " 0.247656 0.627344 39 " " 0.002 0.002 2 " " 0.202 2
0.335 0.632 45 " " 0.334375 0.63125 46 " " 0.001 0.001 1 " " 0.101 1
0.163 0.57 48 " " 0.164062 0.566406 48 " " 0.002 0.003 0 " " 0.302 0
0.413 0.566 41 " " 0.398438 0.588281 50 " " 0.015 0.022 9 " " 2.215 9
0.57 0.521 41 " " 0.570312 0.522656 44 " " 0.001 0.002 3 " " 0.201 3
0.848 0.702 48 " " 0.848437 0.700781 42 " " 0.0 0.002 6 " " 0.2 6
0.091 0.488 40 " " 0.090625 0.490625 39 " " 0.0 0.002 1 " " 0.2 1
0.835 0.099 53 " " 0.836719 0.096875 50 " " 0.002 0.002 3 " " 0.202 3
0.584 0.613 40 " " 0.585938 0.614062 40 " " 0.002 0.002 0 " " 0.202 0
0.162 0.456 54 " " 2 2 2 " " 2 2 2 " " 202 2
0.395 0.722 57 " " 0.395312 0.71875 59 " " 0.0 0.003 2 " " 0.3 2
0.421 0.198 54 " " 0.419531 0.203906 55 " " 0.002 0.005 1 " " 0.502 1
0.119 0.479 46 " " 2 2 2 " " 2 2 2 " " 202 2
0.338 0.146 49 " " 0.339063 0.142188 41 " " 0.001 0.004 8 " " 0.401 8
0.669 0.184 40 " " 0.66875 0.182812 39 " " 0.0 0.001 1 " " 0.1 1
0.957 0.123 49 " " 0.957031 0.121094 47 " " 0.0 0.002 2 " " 0.2 2
0.045 0.115 44 " " 0.0429688 0.116406 42 " " 0.002 0.002 2 " " 0.202 2
0.471 0.49 52 " " 0.470313 0.490625 53 " " 0.001 0.001 1 " " 0.101 1
0.207 0.133 38 " " 0.207031 0.132812 42 " " 0.0 0.0 4 " " 0.0 4
0.496 0.504 49 " " 0.497656 0.502344 43 " " 0.002 0.002 6 " " 0.202 6
0.455 0.598 43 " " 0.457812 0.596094 40 " " 0.003 0.002 3 " " 0.203 3
0.195 0.324 59 " " 0.196094 0.324219 53 " " 0.002 0.0 6 " " 0.002 6
0.892 0.14 56 " " 0.891406 0.139062 62 " " 0.001 0.001 6 " " 0.101 6
0.592 0.35 43 " " 0.592188 0.346094 41 " " 0.0 0.004 2 " " 0.4 2
0.055 0.228 65 " " 0.0523437 0.226562 64 " " 0.002 0.002 1 " " 0.202 1
0.04 0.287 47 " " 0.0398437 0.290625 44 " " 0.0 0.004 3 " " 0.4 3
0.013 0.617 43 " " 0.0140625 0.6125 46 " " 0.001 0.005 3 " " 0.501 3
0.549 0.332 69 " " 0.550781 0.335156 65 " " 0.002 0.003 4 " " 0.302 4
0.816 0.159 69 " " 0.815625 0.157813 69 " " 0.0 0.001 0 " " 0.1 0
0.345 0.531 48 " " 0.344531 0.533594 45 " " 0.0 0.002 3 " " 0.2 3
0.713 0.22 75 " " 0.714063 0.221094 75 " " 0.002 0.001 0 " " 0.10200000000000001 0
0.363 0.138 31 " " 2 2 2 " " 2 2 2 " " 202 2
0.748 0.663 34 " " 0.721875 0.6625 51 " " 0.027 0.001 17 " " 0.127 17
0.628 0.182 48 " " 0.627344 0.186719 39 " " 0.001 0.005 9 " " 0.501 9
0.305 0.502 46 " " 0.304688 0.501562 45 " " 0.0 0.001 1 " " 0.1 1
0.498 0.286 44 " " 0.498437 0.284375 43 " " 0.001 0.002 1 " " 0.201 1
0.406 0.471 49 " " 0.40625 0.467969 50 " " 0.0 0.003 1 " " 0.3 1
0.116 0.63 42 " " 0.115625 0.628125 47 " " 0.0 0.002 5 " " 0.2 5
0.351 0.311 56 " " 0.351562 0.313281 51 " " 0.001 0.002 5 " " 0.201 5
0.204 0.706 36 " " 0.201562 0.703906 38 " " 0.002 0.002 2 " " 0.202 2
0.963 0.355 48 " " 0.961719 0.354688 48 " " 0.001 0.001 0 " " 0.101 0
0.398 0.588 46 " " 2 2 2 " " 2 2 2 " " 202 2
0.868 0.53 50 " " 0.86875 0.528125 43 " " 0.001 0.002 7 " " 0.201 7
0.68 0.446 41 " " 0.679688 0.442969 38 " " 0.001 0.003 3 " " 0.301 3
0.66 0.388 45 " " 0.657812 0.390625 53 " " 0.002 0.002 8 " " 0.202 8
0.388 0.324 45 " " 0.388281 0.321094 43 " " 0.001 0.003 2 " " 0.301 2
0.375 0.529 68 " " 0.378906 0.529688 64 " " 0.004 0.001 4 " " 0.10400000000000001 4
