x_2 y_2 D_2,px " " x_1 y_1 D_1,px " " dx dy dD,px " " abs(dx+dy)% dD,px
0.689 0.23 59 " " 0.6875 0.23125 65 " " 0.002 0.001 6 " " 0.10200000000000001 6
0.252 0.588 93 " " 0.252344 0.588281 87 " " 0.001 0.001 6 " " 0.101 6
0.12 0.155 62 " " 0.122656 0.153906 65 " " 0.003 0.001 3 " " 0.10300000000000001 3
0.381 0.63 48 " " 0.378906 0.632031 53 " " 0.002 0.002 5 " " 0.202 5
0.305 0.581 64 " " 0.305469 0.580469 58 " " 0.0 0.001 6 " " 0.1 6
0.167 0.683 55 " " 0.167187 0.683594 54 " " 0.0 0.001 1 " " 0.1 1
0.524 0.549 53 " " 0.524219 0.55 50 " " 0.0 0.001 3 " " 0.1 3
0.344 0.464 49 " " 0.341406 0.465625 52 " " 0.002 0.002 3 " " 0.202 3
0.395 0.084 54 " " 0.395312 0.0851562 46 " " 0.0 0.002 8 " " 0.2 8
0.727 0.547 56 " " 0.725781 0.54375 55 " " 0.002 0.003 1 " " 0.302 1
0.911 0.181 61 " " 0.908594 0.18125 60 " " 0.002 0.0 1 " " 0.002 1
0.763 0.516 60 " " 0.764844 0.517187 55 " " 0.002 0.002 5 " " 0.202 5
0.021 0.284 58 " " 0.021875 0.2875 59 " " 0.001 0.003 1 " " 0.301 1
0.25 0.326 46 " " 0.248437 0.326562 43 " " 0.002 0.001 3 " " 0.10200000000000001 3
0.277 0.482 42 " " 0.278125 0.482031 44 " " 0.002 0.0 2 " " 0.002 2
0.954 0.353 64 " " 0.95625 0.35625 69 " " 0.002 0.003 5 " " 0.302 5
0.062 0.155 51 " " 0.0632813 0.15625 50 " " 0.002 0.001 1 " " 0.10200000000000001 1
0.57 0.351 56 " " 0.570312 0.351562 55 " " 0.0 0.001 1 " " 0.1 1
0.552 0.78 55 " " 0.553125 0.782031 54 " " 0.001 0.002 1 " " 0.201 1
0.665 0.188 46 " " 0.667969 0.186719 43 " " 0.003 0.001 3 " " 0.10300000000000001 3
0.081 0.43 55 " " 0.0796875 0.430469 58 " " 0.002 0.001 3 " " 0.10200000000000001 3
0.198 0.662 50 " " 0.197656 0.660937 46 " " 0.0 0.002 4 " " 0.2 4
0.508 0.663 48 " " 0.507031 0.661719 45 " " 0.001 0.002 3 " " 0.201 3
0.471 0.813 73 " " 0.471875 0.811719 66 " " 0.001 0.002 7 " " 0.201 7
0.62 0.511 61 " " 0.620313 0.514844 64 " " 0.0 0.004 3 " " 0.4 3
0.237 0.651 52 " " 0.2375 0.651563 51 " " 0.0 0.001 1 " " 0.1 1
