x_2 y_2 D_2,px " " x_1 y_1 D_1,px " " dx dy dD,px " " abs(dx+dy)% dD,px
0.509 0.439 103 " " 0.508594 0.438281 103 " " 0.001 0.001 0 " " 0.101 0
0.964 0.496 66 " " 0.966406 0.497656 75 " " 0.002 0.002 9 " " 0.202 9
0.388 0.595 94 " " 0.388281 0.596094 95 " " 0.001 0.002 1 " " 0.201 1
0.645 0.111 75 " " 0.646094 0.107813 68 " " 0.001 0.003 7 " " 0.301 7
0.259 0.621 58 " " 0.258594 0.621875 58 " " 0.001 0.001 0 " " 0.101 0
0.419 0.647 66 " " 0.421094 0.646094 68 " " 0.002 0.001 2 " " 0.10200000000000001 2
0.597 0.09 46 " " 0.597656 0.0890625 48 " " 0.001 0.001 2 " " 0.101 2
0.237 0.747 61 " " 0.239063 0.744531 58 " " 0.002 0.002 3 " " 0.202 3
0.015 0.63 53 " " 0.0164062 0.628906 54 " " 0.002 0.001 1 " " 0.10200000000000001 1
0.524 0.177 67 " " 0.527344 0.178125 66 " " 0.003 0.001 1 " " 0.10300000000000001 1
0.338 0.356 50 " " 0.339063 0.35625 53 " " 0.001 0.0 3 " " 0.001 3
0.156 0.325 61 " " 0.157031 0.325 68 " " 0.001 0.0 7 " " 0.001 7
0.695 0.352 50 " " 0.694531 0.352344 47 " " 0.001 0.0 3 " " 0.001 3
0.141 0.632 66 " " 0.140625 0.630469 62 " " 0.0 0.002 4 " " 0.2 4
0.506 0.366 68 " " 0.507031 0.366406 68 " " 0.001 0.001 0 " " 0.101 0
0.602 0.149 60 " " 0.603125 0.151562 54 " " 0.001 0.002 6 " " 0.201 6
0.717 0.525 71 " " 0.71875 0.525 69 " " 0.002 0.0 2 " " 0.002 2
0.291 0.491 49 " " 0.290625 0.492188 49 " " 0.001 0.001 0 " " 0.101 0
0.405 0.341 65 " " 0.403906 0.34375 67 " " 0.002 0.002 2 " " 0.202 2
0.352 0.789 53 " " 0.351562 0.786719 52 " " 0.0 0.002 1 " " 0.2 1
0.978 0.383 61 " " 0.978906 0.382812 67 " " 0.001 0.0 6 " " 0.001 6
0.62 0.509 93 " " 0.619531 0.50625 82 " " 0.0 0.002 11 " " 0.2 11
0.898 0.199 66 " " 0.896875 0.199219 70 " " 0.002 0.0 4 " " 0.002 4
0.555 0.633 55 " " 0.554688 0.633594 54 " " 0.0 0.001 1 " " 0.1 1
0.051 0.526 56 " " 0.0507812 0.528906 59 " " 0.0 0.003 3 " " 0.3 3
0.865 0.314 42 " " 0.864844 0.315625 42 " " 0.0 0.002 0 " " 0.2 0
0.11 0.128 46 " " 0.110937 0.129688 45 " " 0.001 0.002 1 " " 0.201 1
0.042 0.285 52 " " 0.040625 0.2875 51 " " 0.002 0.002 1 " " 0.202 1
0.105 0.663 66 " " 0.104687 0.660937 63 " " 0.0 0.002 3 " " 0.2 3
0.287 0.234 53 " " 0.288281 0.234375 48 " " 0.001 0.0 5 " " 0.001 5
0.139 0.212 72 " " 0.135937 0.211719 76 " " 0.003 0.0 4 " " 0.003 4
0.21 0.505 78 " " 0.20625 0.509375 72 " " 0.004 0.004 6 " " 0.404 6
0.295 0.416 46 " " 0.295312 0.416406 50 " " 0.001 0.001 4 " " 0.101 4
0.731 0.271 72 " " 0.73125 0.271094 72 " " 0.0 0.0 0 " " 0.0 0
0.743 0.723 57 " " 0.745313 0.721094 57 " " 0.002 0.002 0 " " 0.202 0
0.817 0.448 52 " " 0.817969 0.45 48 " " 0.001 0.002 4 " " 0.201 4
0.456 0.723 52 " " 0.457812 0.722656 49 " " 0.002 0.0 3 " " 0.002 3
0.231 0.56 54 " " 0.23125 0.560938 57 " " 0.0 0.001 3 " " 0.1 3
0.792 0.723 53 " " 0.794531 0.722656 54 " " 0.002 0.001 1 " " 0.10200000000000001 1
0.875 0.45 86 " " 0.875 0.452344 88 " " 0.0 0.002 2 " " 0.2 2
0.201 0.722 67 " " 0.199219 0.720312 62 " " 0.002 0.002 5 " " 0.202 5
0.703 0.205 66 " " 0.702344 0.20625 65 " " 0.001 0.001 1 " " 0.101 1
0.534 0.303 55 " " 0.534375 0.301562 57 " " 0.0 0.002 2 " " 0.2 2
0.105 0.785 45 " " 0.107031 0.784375 47 " " 0.002 0.001 2 " " 0.10200000000000001 2
0.018 0.831 52 " " 2 2 2 " " 2 2 2 " " 202 2
0.115 0.434 44 " " 0.117188 0.434375 43 " " 0.002 0.0 1 " " 0.002 1
