x_2 y_2 D_2,px " " x_1 y_1 D_1,px " " dx dy dD,px " " abs(dx+dy)% dD,px
0.636 0.228 51 " " 0.635156 0.228906 55 " " 0.001 0.001 4 " " 0.101 4
0.312 0.352 48 " " 0.313281 0.353906 55 " " 0.001 0.002 7 " " 0.201 7
0.499 0.268 57 " " 0.499219 0.26875 64 " " 0.0 0.001 7 " " 0.1 7
0.216 0.499 79 " " 0.215625 0.501562 77 " " 0.001 0.002 2 " " 0.201 2
0.609 0.521 60 " " 0.609375 0.521094 59 " " 0.001 0.0 1 " " 0.001 1
0.231 0.574 90 " " 0.228125 0.578125 93 " " 0.003 0.004 3 " " 0.403 3
0.079 0.249 55 " " 0.0789063 0.251563 52 " " 0.0 0.002 3 " " 0.2 3
0.685 0.337 95 " " 0.684375 0.336719 88 " " 0.001 0.0 7 " " 0.001 7
0.47 0.24 51 " " 0.469531 0.240625 52 " " 0.0 0.001 1 " " 0.1 1
0.108 0.44 66 " " 0.105469 0.440625 63 " " 0.002 0.001 3 " " 0.10200000000000001 3
0.361 0.138 50 " " 0.361719 0.139062 50 " " 0.001 0.001 0 " " 0.101 0
0.163 0.466 63 " " 0.1625 0.466406 60 " " 0.0 0.001 3 " " 0.1 3
0.638 0.585 53 " " 0.638281 0.584375 56 " " 0.0 0.001 3 " " 0.1 3
0.358 0.854 46 " " 0.357031 0.853125 46 " " 0.001 0.001 0 " " 0.101 0
0.041 0.327 63 " " 0.0414063 0.33125 57 " " 0.001 0.004 6 " " 0.401 6
0.932 0.547 48 " " 0.934375 0.546875 48 " " 0.002 0.0 0 " " 0.002 0
0.859 0.444 54 " " 0.859375 0.445312 57 " " 0.001 0.002 3 " " 0.201 3
0.201 0.703 58 " " 0.201562 0.701563 47 " " 0.001 0.002 11 " " 0.201 11
0.357 0.359 56 " " 0.35625 0.359375 57 " " 0.001 0.0 1 " " 0.001 1
0.574 0.177 58 " " 0.575 0.175 51 " " 0.001 0.002 7 " " 0.201 7
0.019 0.474 55 " " 0.01875 0.471094 54 " " 0.0 0.003 1 " " 0.3 1
0.688 0.081 57 " " 0.689844 0.0796875 56 " " 0.002 0.002 1 " " 0.202 1
0.529 0.155 78 " " 0.529688 0.152344 80 " " 0.001 0.003 2 " " 0.301 2
0.159 0.366 53 " " 0.160938 0.367969 58 " " 0.002 0.002 5 " " 0.202 5
0.323 0.111 54 " " 0.323438 0.113281 58 " " 0.001 0.002 4 " " 0.201 4
0.781 0.599 46 " " 0.780469 0.602344 43 " " 0.001 0.003 3 " " 0.301 3
0.364 0.483 65 " " 0.364062 0.482812 72 " " 0.0 0.0 7 " " 0.0 7
0.034 0.265 59 " " 0.034375 0.267969 63 " " 0.0 0.003 4 " " 0.3 4
0.423 0.43 58 " " 0.422656 0.433594 57 " " 0.001 0.003 1 " " 0.301 1
0.163 0.57 48 " " 0.164844 0.570312 48 " " 0.002 0.0 0 " " 0.002 0
0.44 0.152 62 " " 0.439844 0.150781 59 " " 0.0 0.002 3 " " 0.2 3
0.825 0.634 49 " " 0.827344 0.635938 46 " " 0.002 0.002 3 " " 0.202 3
0.031 0.823 52 " " 2 2 2 " " 2 2 2 " " 202 2
0.634 0.388 74 " " 0.633594 0.389062 72 " " 0.0 0.002 2 " " 0.2 2
0.48 0.634 53 " " 0.48125 0.635156 48 " " 0.001 0.002 5 " " 0.201 5
0.337 0.431 50 " " 0.335938 0.432813 51 " " 0.001 0.002 1 " " 0.201 1
0.738 0.401 46 " " 0.7375 0.40625 45 " " 0.0 0.005 1 " " 0.5 1
